feature,importance
MonthlyIncome,0.0728452082793985
Age,0.06340707801801919
DailyRate,0.053095787985114405
TotalWorkingYears,0.05216581508206992
MonthlyRate,0.04656364270195829
HourlyRate,0.04528379167098677
OverTime_Yes,0.04504326393591164
YearsAtCompany,0.043650143750272666
DistanceFromHome,0.04307733320542897
YearsWithCurrManager,0.040752312056740625
NumCompaniesWorked,0.03487016203081763
StockOptionLevel,0.03342289224149736
YearsInCurrentRole,0.03240475331650893
PercentSalaryHike,0.030341326557660468
EnvironmentSatisfaction,0.02919487019573069
JobLevel,0.02814914699610664
JobSatisfaction,0.023481623395373928
RelationshipSatisfaction,0.023091872446395375
TrainingTimesLastYear,0.02275747014880782
YearsSinceLastPromotion,0.022749450945059868
WorkLifeBalance,0.021602222313650953
JobInvolvement,0.01993768880168421
Education,0.01933488142976887
MaritalStatus_Single,0.01573984440857087
BusinessTravel_Travel_Frequently,0.01134683008247707
Department_Sales,0.011132564137661402
JobRole_Laboratory Technician,0.01040466489288674
MaritalStatus_Married,0.010322924902610227
EducationField_Medical,0.009773524610254143
Department_Research & Development,0.009704357535804396
JobRole_Research Scientist,0.009112604894008497
JobRole_Sales Executive,0.008364684751163585
EducationField_Life Sciences,0.008022606762700935
Gender_Male,0.007640561234410752
BusinessTravel_Travel_Rarely,0.006657077928577525
JobRole_Sales Representative,0.005731535052381307
EducationField_Marketing,0.004819773267143459
EducationField_Technical Degree,0.004601242820476589
PerformanceRating,0.004413065479707281
JobRole_Manufacturing Director,0.004154787114051381
JobRole_Manager,0.0029488029295873215
JobRole_Research Director,0.002863063938139442
EducationField_Other,0.0028624123614452222
JobRole_Human Resources,0.0021603333909782385
EmployeeCount,0.0
StandardHours,0.0
